ID,ImageID,OTUID,Assemblage,CSize,B1a_raw,B2a_raw,B3a_raw,L1a_raw,L2a_raw,L3a_raw,L4a_raw,Pp_raw,B2p_raw,B3p_raw,L2p_raw,L3p_raw,L4p_raw,B1a_cor,B2a_cor,B3a_cor,L1a_cor,L2a_cor,L3a_cor,L4a_cor,Pp_cor,B2p_cor,B3p_cor,L2p_cor,L3p_cor,L4p_cor
1287,1913,259,Wigber Low 26,2025,72,79,59,67,69,70,71,50,47,47,57,42,58,92.62,94.08,72.24,76.58,76.31,83.18,84.81,65.5,52.71,61.85,64.12,54.02,73.41
1286,1920,259,Wigber Low 26,2056,56,56,53,57,63,57,60,72,45,47,43,55,49,74.71,69.68,65.01,65.7,69.63,68.96,72.53,86.07,50.19,60.47,49.46,65.91,62.99
1285,1928,259,Wigber Low 26,2045,60,55,55,67,78,67,69,69,58,50,58,62,58,79.39,69.18,67.45,76.01,84.87,79.39,81.98,83.58,63.37,63.96,64.7,73.3,72.49
1284,1891,259,Wigber Low 26,2053,69,67,54,75,73,74,54,72,58,49,56,51,60,87.89,80.82,66.13,83.78,79.7,86.08,66.66,86.2,63.24,62.6,62.53,62.02,74.12
1283,1936,259,Wigber Low 26,2043,60,52,59,69,79,61,70,56,50,51,43,49,53,79.51,66.27,71.53,78.07,85.91,73.47,83.07,70.67,55.41,65.05,49.74,60.38,67.58
1282,1900,259,Wigber Low 26,2125,72,79,71,60,68,68,76,69,42,65,54,52,61,86.46,89.58,80.29,66.72,73.13,77.24,85.69,79.87,46.01,75.41,59.0,60.43,71.81
1281,1907,259,Wigber Low 26,2012,63,62,49,59,66,61,67,56,47,52,59,53,52,84.42,77.66,62.75,68.95,73.59,74.69,81.35,72.1,52.94,67.42,66.4,65.49,68.01
1280,1916,259,Wigber Low 26,1988,56,54,67,65,67,48,56,54,58,58,53,49,52,78.89,70.74,81.7,75.64,75.11,62.63,71.33,71.21,64.35,74.49,60.91,62.35,69.12
1279,1297,1037,Westbury 14,1841,49,66,65,59,58,56,70,78,78,83,77,74,68,49.0,66.0,65.0,59.0,58.0,56.0,70.0,78.0,78.0,83.0,77.0,74.0,68.0
1278,1244,1037,Westbury 14,1825,64,69,68,65,72,73,85,83,81,67,75,73,76,64.77,70.95,69.17,66.31,73.21,73.89,86.92,84.03,82.08,68.46,76.58,73.91,77.03
1277,1307,1037,Westbury 14,1726,56,54,53,54,57,57,57,86,69,72,83,74,86,61.54,68.01,61.43,63.45,65.73,63.39,70.79,93.42,76.74,82.51,94.33,80.55,93.4
1276,1293,1037,Westbury 14,1785,72,78,73,71,69,71,79,86,75,78,82,88,83,74.7,84.82,77.1,75.6,73.25,74.11,85.71,89.61,78.77,83.12,87.52,91.19,86.6
1275,1353,1037,Westbury 14,1679,58,51,49,44,48,57,51,62,60,50,59,51,55,65.8,70.73,60.87,57.31,60.29,66.0,70.42,72.45,70.9,64.8,74.96,60.23,65.42
1274,1305,1037,Westbury 14,1793,51,52,50,52,55,50,51,60,51,55,62,54,56,53.31,57.85,53.52,55.94,58.64,52.67,56.75,63.09,54.23,59.39,66.73,56.73,59.09
1273,1347,1037,Westbury 14,1641,39,39,45,41,48,41,48,59,57,56,51,66,57,48.63,63.36,59.65,57.43,63.18,52.12,71.98,71.9,70.46,74.28,70.7,77.39,69.86
1272,1301,1037,Westbury 14,1774,66,50,35,56,59,61,59,76,73,77,78,79,75,69.23,58.16,39.91,61.5,64.08,64.72,67.03,80.32,77.51,83.12,84.6,82.82,79.31
1271,1254,1037,Westbury 14,1715,53,57,58,60,56,66,53,82,73,74,66,61,59,59.07,72.35,67.23,70.35,65.56,73.0,68.1,90.12,81.48,85.51,78.41,68.18,67.1
1270,1309,1037,Westbury 14,1710,70,55,68,71,67,76,80,84,82,71,76,85,77,76.31,70.96,77.6,81.76,76.94,83.28,95.7,92.45,90.81,82.97,88.9,92.46,85.42
1269,1229,49,Westbury 11,1743,54,52,50,56,57,58,58,75,66,62,69,64,67,65.93,59.91,56.87,61.64,61.0,60.05,60.3,77.21,71.1,71.81,72.59,69.63,70.98
1268,1357,49,Westbury 11,1686,45,49,44,59,62,59,55,69,55,49,66,65,49,61.02,59.63,53.23,66.57,67.37,61.76,58.09,71.97,61.86,62.18,70.82,72.56,54.34
1267,1367,49,Westbury 11,1662,50,54,54,55,60,57,62,81,67,74,64,68,77,67.75,65.78,64.22,63.39,65.95,60.05,65.42,84.29,74.6,88.6,69.34,76.38,82.92
1266,1227,49,Westbury 11,1642,50,51,49,60,64,57,58,71,70,60,70,68,63,69.18,63.73,60.05,69.07,70.43,60.3,61.7,74.55,78.21,75.79,75.77,77.06,69.4
1265,1238,49,Westbury 11,1706,59,48,54,52,50,58,63,66,63,66,68,69,76,73.59,57.68,62.4,58.89,54.89,60.51,65.81,68.7,69.24,78.0,72.39,75.89,80.86
1264,1361,49,Westbury 11,1663,49,46,48,53,57,57,49,69,70,60,60,67,70,66.68,57.73,58.18,61.35,62.93,60.04,52.41,72.27,77.56,74.54,65.31,75.35,75.89
1263,1225,49,Westbury 11,1839,63,57,68,78,71,69,69,94,70,76,69,78,66,68.03,60.34,70.9,80.38,72.69,69.87,69.97,94.93,72.15,80.14,70.51,80.37,67.68
1262,1256,49,Westbury 11,1909,65,61,54,53,62,52,52,63,61,62,66,69,65,65.0,61.0,54.0,53.0,62.0,52.0,52.0,63.0,61.0,62.0,66.0,69.0,65.0
1261,1373,49,Westbury 11,1758,40,48,48,60,56,58,58,64,59,60,66,70,73,50.85,55.2,54.25,65.13,59.64,59.87,60.09,66.01,63.64,68.93,69.26,75.12,76.62
1260,1231,49,Westbury 11,1753,53,50,58,53,53,44,56,60,63,65,61,67,65,64.21,57.44,64.46,58.3,56.76,45.93,58.16,62.08,67.8,74.22,64.37,72.29,68.74
1259,1359,49,Westbury 11,1864,66,63,57,63,59,65,64,78,87,85,75,79,79,69.23,65.15,58.86,64.53,60.08,65.56,64.62,78.6,88.38,87.66,75.97,80.53,80.08
1258,1369,49,Westbury 11,1682,44,52,50,49,47,57,58,72,55,49,61,66,53,60.31,62.82,59.4,56.71,52.47,59.81,61.14,75.02,61.98,62.42,65.9,73.7,58.44
1257,4747,51,West Runton Freshwater Bed,1827,45,44,54,57,66,67,53,83,87,71,76,82,66,59.74,57.87,63.58,69.5,77.61,77.78,62.61,96.75,109.98,90.7,96.46,99.27,83.08
1256,4754,51,West Runton Freshwater Bed,1797,57,48,53,74,63,63,65,78,79,67,78,71,64,73.98,63.99,64.04,88.4,76.38,75.43,76.07,93.84,105.48,89.7,101.57,90.9,83.68
1255,4763,51,West Runton Freshwater Bed,1879,70,64,67,72,75,77,77,103,92,87,89,82,85,80.85,74.21,74.05,81.2,83.55,84.94,84.07,113.12,108.91,101.5,104.06,94.71,97.57
1254,4778,51,West Runton Freshwater Bed,1791,53,55,61,53,55,56,57,64,63,58,70,61,57,70.43,71.41,72.33,67.78,68.73,68.76,68.36,80.26,90.18,81.3,94.2,81.42,77.2
1253,4742,51,West Runton Freshwater Bed,1893,50,42,49,56,65,60,53,86,74,63,70,68,71,59.8,51.23,55.37,64.31,72.72,67.17,59.39,95.14,89.28,76.1,83.6,79.48,82.36
1252,4750,51,West Runton Freshwater Bed,1799,55,56,49,70,62,70,59,83,67,67,77,83,67,71.83,71.84,59.94,84.28,75.26,82.32,69.97,98.7,93.24,89.5,100.37,102.72,86.51
1251,4758,51,West Runton Freshwater Bed,1901,55,61,60,81,58,64,63,60,85,80,86,83,73,64.2,69.66,65.98,88.8,65.25,70.73,69.0,68.58,99.35,92.3,98.77,93.78,83.67
1250,4770,51,West Runton Freshwater Bed,1889,54,61,53,54,63,57,67,72,73,63,72,82,80,64.1,70.51,59.57,62.57,70.96,64.39,73.58,81.42,88.75,76.5,86.02,93.83,91.71
1249,4781,51,West Runton Freshwater Bed,1747,46,56,63,53,53,59,58,59,61,58,59,68,63,66.72,75.51,76.47,70.58,69.33,74.16,71.51,78.33,93.31,85.7,87.77,92.28,87.02
